1975.042	330.73		0.3073
1975.125	331.46		0.3146
1975.208	331.9		0.319
1975.292	333.17		0.3317
1975.375	333.94		0.3394
1975.458	333.45		0.3345
1975.542	331.98		0.3198
1975.625	329.95		0.2995
1975.708	328.5		0.285
1975.792	328.34		0.2834
1975.875	329.37		0.2937
1975.958	330.58		0.3058
1976.042	331.59		0.3159
1976.125	332.75		0.3275
1976.208	333.52		0.3352
1976.292	334.64		0.3464
1976.375	334.77		0.3477
1976.458	334		0.34
1976.542	333.06		0.3306
1976.625	330.68		0.3068
1976.708	328.95		0.2895
1976.792	328.75		0.2875
1976.875	330.15		0.3015
1976.958	331.62		0.3162
1977.042	332.66		0.3266
1977.125	333.13		0.3313
1977.208	334.95		0.3495
1977.292	336.13		0.3613
1977.375	336.93		0.3693
1977.458	336.17		0.3617
1977.542	334.88		0.3488
1977.625	332.56		0.3256
1977.708	331.29		0.3129
1977.792	331.27		0.3127
1977.875	332.41		0.3241
1977.958	333.6		0.336
1978.042	334.95		0.3495
1978.125	335.25		0.3525
1978.208	336.66		0.3666
1978.292	337.69		0.3769
1978.375	338.03		0.3803
1978.458	338.01		0.3801
1978.542	336.41		0.3641
1978.625	334.41		0.3441
1978.708	332.37		0.3237
1978.792	332.41		0.3241
1978.875	333.75		0.3375
1978.958	334.9		0.349
1979.042	336.14		0.3614
1979.125	336.69		0.3669
1979.208	338.27		0.3827
1979.292	338.95		0.3895
1979.375	339.21		0.3921
1979.458	339.26		0.3926
1979.542	337.54		0.3754
1979.625	335.75		0.3575
1979.708	333.98		0.3398
1979.792	334.19		0.3419
1979.875	335.31		0.3531
1979.958	336.81		0.3681
1980.042	337.9		0.379
1980.125	338.34		0.3834
1980.208	340.01		0.4001
1980.292	340.93		0.4093
1980.375	341.48		0.4148
1980.458	341.33		0.4133
1980.542	339.4		0.394
1980.625	337.7		0.377
1980.708	336.19		0.3619
1980.792	336.15		0.3615
1980.875	337.27		0.3727
1980.958	338.32		0.3832
1981.042	339.29		0.3929
1981.125	340.55		0.4055
1981.208	341.61		0.4161
1981.292	342.53		0.4253
1981.375	343.04		0.4304
1981.458	342.54		0.4254
1981.542	340.78		0.4078
1981.625	338.44		0.3844
1981.708	336.95		0.3695
1981.792	337.08		0.3708
1981.875	338.58		0.3858
1981.958	339.88		0.3988
1982.042	340.96		0.4096
1982.125	341.73		0.4173
1982.208	342.82		0.4282
1982.292	343.97		0.4397
1982.375	344.63		0.4463
1982.458	343.79		0.4379
1982.542	342.32		0.4232
1982.625	340.09		0.4009
1982.708	338.28		0.3828
1982.792	338.29		0.3829
1982.875	339.6		0.396
1982.958	340.9		0.409
1983.042	341.68		0.4168
1983.125	342.9		0.429
1983.208	343.33		0.4333
1983.292	345.25		0.4525
1983.375	346.03		0.4603
1983.458	345.63		0.4563
1983.542	344.19		0.4419
1983.625	342.27		0.4227
1983.708	340.35		0.4035
1983.792	340.38		0.4038
1983.875	341.59		0.4159
1983.958	343.05		0.4305
1984.042	344.1		0.441
1984.125	344.79		0.4479
1984.208	345.52		0.4552
1984.292	346.84		0.4684
1984.375	347.63		0.4763
1984.458	346.98		0.4698
1984.542	345.53		0.4553
1984.625	343.55		0.4355
1984.708	341.4		0.414
1984.792	341.67		0.4167
1984.875	343.1		0.431
1984.958	344.7		0.447
1985.042	345.21		0.4521
1985.125	346.16		0.4616
1985.208	347.74		0.4774
1985.292	348.34		0.4834
1985.375	349.06		0.4906
1985.458	348.38		0.4838
1985.542	346.72		0.4672
1985.625	345.02		0.4502
1985.708	343.27		0.4327
1985.792	343.13		0.4313
1985.875	344.49		0.4449
1985.958	345.88		0.4588
1986.042	346.56		0.4656
1986.125	347.28		0.4728
1986.208	348.01		0.4801
1986.292	349.77		0.4977
1986.375	350.38		0.5038
1986.458	349.93		0.4993
1986.542	348.16		0.4816
1986.625	346.08		0.4608
1986.708	345.22		0.4522
1986.792	344.51		0.4451
1986.875	345.93		0.4593
1986.958	347.22		0.4722
1987.042	348.52		0.4852
1987.125	348.73		0.4873
1987.208	349.73		0.4973
1987.292	351.31		0.5131
1987.375	352.09		0.5209
1987.458	351.53		0.5153
1987.542	350.11		0.5011
1987.625	348.08		0.4808
1987.708	346.52		0.4652
1987.792	346.59		0.4659
1987.875	347.96		0.4796
1987.958	349.16		0.4916
1988.042	350.39		0.5039
1988.125	351.64		0.5164
1988.208	352.41		0.5241
1988.292	353.69		0.5369
1988.375	354.21		0.5421
1988.458	353.72		0.5372
1988.542	352.69		0.5269
1988.625	350.4		0.504
1988.708	348.92		0.4892
1988.792	349.13		0.4913
1988.875	350.2		0.502
1988.958	351.41		0.5141
1989.042	352.91		0.5291
1989.125	353.27		0.5327
1989.208	353.96		0.5396
1989.292	355.64		0.5564
1989.375	355.86		0.5586
1989.458	355.37		0.5537
1989.542	353.99		0.5399
1989.625	351.81		0.5181
1989.708	350.05		0.5005
1989.792	350.25		0.5025
1989.875	351.49		0.5149
1989.958	352.85		0.5285
1990.042	353.8		0.538
1990.125	355.04		0.5504
1990.208	355.73		0.5573
1990.292	356.32		0.5632
1990.375	357.32		0.5732
1990.458	356.34		0.5634
1990.542	354.84		0.5484
1990.625	353.01		0.5301
1990.708	351.31		0.5131
1990.792	351.62		0.5162
1990.875	353.07		0.5307
1990.958	354.33		0.5433
1991.042	354.84		0.5484
1991.125	355.73		0.5573
1991.208	357.23		0.5723
1991.292	358.66		0.5866
1991.375	359.13		0.5913
1991.458	358.13		0.5813
1991.542	356.19		0.5619
1991.625	353.85		0.5385
1991.708	352.25		0.5225
1991.792	352.35		0.5235
1991.875	353.81		0.5381
1991.958	355.12		0.5512
1992.042	356.25		0.5625
1992.125	357.11		0.5711
1992.208	357.86		0.5786
1992.292	359.09		0.5909
1992.375	359.59		0.5959
1992.458	359.33		0.5933
1992.542	357.01		0.5701
1992.625	354.94		0.5494
1992.708	352.95		0.5295
1992.792	353.32		0.5332
1992.875	354.32		0.5432
1992.958	355.57		0.5557
1993.042	357		0.57
1993.125	357.31		0.5731
1993.208	358.47		0.5847
1993.292	359.27		0.5927
1993.375	360.19		0.6019
1993.458	359.52		0.5952
1993.542	357.33		0.5733
1993.625	355.64		0.5564
1993.708	354.03		0.5403
1993.792	354.12		0.5412
1993.875	355.41		0.5541
1993.958	356.91		0.5691
1994.042	358.24		0.5824
1994.125	358.92		0.5892
1994.208	359.99		0.5999
1994.292	361.23		0.6123
1994.375	361.65		0.6165
1994.458	360.81		0.6081
1994.542	359.38		0.5938
1994.625	357.46		0.5746
1994.708	355.73		0.5573
1994.792	356.07		0.5607
1994.875	357.53		0.5753
1994.958	358.98		0.5898
1995.042	359.92		0.5992
1995.125	360.86		0.6086
1995.208	361.83		0.6183
1995.292	363.3		0.633
1995.375	363.69		0.6369
1995.458	363.19		0.6319
1995.542	361.64		0.6164
1995.625	359.12		0.5912
1995.708	358.17		0.5817
1995.792	357.99		0.5799
1995.875	359.45		0.5945
1995.958	360.68		0.6068
1996.042	362.07		0.6207
1996.125	363.24		0.6324
1996.208	364.17		0.6417
1996.292	364.57		0.6457
1996.375	365.13		0.6513
1996.458	364.92		0.6492
1996.542	363.55		0.6355
1996.625	361.38		0.6138
1996.708	359.54		0.5954
1996.792	359.58		0.5958
1996.875	360.89		0.6089
1996.958	362.24		0.6224
