date	value
1913.625	-0.34
1913.7083	-0.33
1913.7917	-0.34
1913.875	-0.17
1913.9583	-0.03
1914.0417	0.02
1914.125	-0.12
1914.2083	-0.22
1914.2917	-0.27
1914.375	-0.2
1914.4583	-0.23
1914.5417	-0.24
1914.625	-0.14
1914.7083	-0.13
1914.7917	-0.05
1914.875	-0.2
1914.9583	-0.09
1915.0417	-0.18
1915.125	0
1915.2083	-0.1
1915.2917	0.08
1915.375	-0.01
1915.4583	-0.15
1915.5417	-0.03
1915.625	-0.15
1915.7083	-0.12
1915.7917	-0.22
1915.875	-0.12
1915.9583	-0.24
1916.0417	-0.17
1916.125	-0.21
1916.2083	-0.31
1916.2917	-0.24
1916.375	-0.26
1916.4583	-0.43
1916.5417	-0.34
1916.625	-0.26
1916.7083	-0.28
1916.7917	-0.27
1916.875	-0.4
1916.9583	-0.77
1917.0417	-0.46
1917.125	-0.53
1917.2083	-0.47
1917.2917	-0.37
1917.375	-0.48
1917.4583	-0.4
1917.5417	-0.22
1917.625	-0.25
1917.7083	-0.17
1917.7917	-0.35
1917.875	-0.26
1917.9583	-0.71
1918.0417	-0.42
1918.125	-0.3
1918.2083	-0.18
1918.2917	-0.38
1918.375	-0.36
1918.4583	-0.27
1918.5417	-0.19
1918.625	-0.25
1918.7083	-0.13
1918.7917	-0.03
1918.875	-0.15
1918.9583	-0.29
1919.0417	-0.2
1919.125	-0.2
1919.2083	-0.24
1919.2917	-0.16
1919.375	-0.19
1919.4583	-0.27
1919.5417	-0.2
1919.625	-0.18
1919.7083	-0.16
1919.7917	-0.14
1919.875	-0.29
1919.9583	-0.34
1920.0417	-0.15
1920.125	-0.22
1920.2083	-0.06
1920.2917	-0.25
1920.375	-0.24
1920.4583	-0.32
1920.5417	-0.31
1920.625	-0.28
1920.7083	-0.19
1920.7917	-0.28
1920.875	-0.32
1920.9583	-0.46
1921.0417	-0.03
1921.125	-0.2
1921.2083	-0.27
1921.2917	-0.35
1921.375	-0.35
1921.4583	-0.3
1921.5417	-0.15
1921.625	-0.23
1921.7083	-0.16
1921.7917	-0.05
1921.875	-0.15
1921.9583	-0.17
1922.0417	-0.34
1922.125	-0.42
1922.2083	-0.11
1922.2917	-0.2
1922.375	-0.33
1922.4583	-0.32
1922.5417	-0.25
1922.625	-0.29
1922.7083	-0.27
1922.7917	-0.32
1922.875	-0.15
1922.9583	-0.16
1923.0417	-0.25
1923.125	-0.35
1923.2083	-0.31
1923.2917	-0.36
1923.375	-0.32
1923.4583	-0.22
1923.5417	-0.28
1923.625	-0.28
1923.7083	-0.26
1923.7917	-0.11
1923.875	0.05
1923.9583	-0.04
1924.0417	-0.23
1924.125	-0.26
1924.2083	-0.11
1924.2917	-0.34
1924.375	-0.18
1924.4583	-0.27
1924.5417	-0.25
1924.625	-0.34
1924.7083	-0.29
1924.7917	-0.35
1924.875	-0.22
1924.9583	-0.41
1925.0417	-0.33
1925.125	-0.33
1925.2083	-0.21
1925.2917	-0.24
1925.375	-0.29
1925.4583	-0.32
1925.5417	-0.28
1925.625	-0.18
1925.7083	-0.13
1925.7917	-0.16
1925.875	0.05
1925.9583	0.11
1926.0417	0.2
1926.125	0.08
1926.2083	0.13
1926.2917	-0.14
1926.375	-0.24
1926.4583	-0.24
1926.5417	-0.2
1926.625	-0.1
1926.7083	-0.1
1926.7917	-0.11
1926.875	-0.05
1926.9583	-0.3
1927.0417	-0.28
1927.125	-0.2
1927.2083	-0.37
1927.2917	-0.3
1927.375	-0.24
1927.4583	-0.27
1927.5417	-0.13
1927.625	-0.18
1927.7083	-0.05
1927.7917	-0.01
1927.875	-0.03
1927.9583	-0.35
1928.0417	-0.02
1928.125	-0.11
1928.2083	-0.28
1928.2917	-0.28
1928.375	-0.29
1928.4583	-0.41
1928.5417	-0.2
1928.625	-0.25
1928.7083	-0.19
1928.7917	-0.18
1928.875	-0.09
1928.9583	-0.2
1929.0417	-0.46
1929.125	-0.59
1929.2083	-0.32
1929.2917	-0.4
1929.375	-0.38
1929.4583	-0.43
1929.5417	-0.32
1929.625	-0.28
1929.7083	-0.23
1929.7917	-0.14
1929.875	-0.13
1929.9583	-0.54
1930.0417	-0.29
1930.125	-0.24
1930.2083	-0.08
1930.2917	-0.25
1930.375	-0.24
1930.4583	-0.18
1930.5417	-0.16
1930.625	-0.09
1930.7083	-0.1
1930.7917	-0.08
1930.875	0.14
1930.9583	-0.08
1931.0417	-0.1
1931.125	-0.21
1931.2083	-0.05
1931.2917	-0.21
1931.375	-0.21
1931.4583	-0.05
1931.5417	0.01
1931.625	0
1931.7083	-0.06
1931.7917	0
1931.875	-0.12
1931.9583	-0.1
1932.0417	0.14
1932.125	-0.17
1932.2083	-0.19
1932.2917	-0.07
1932.375	-0.21
1932.4583	-0.29
1932.5417	-0.23
1932.625	-0.23
1932.7083	-0.11
1932.7917	-0.09
1932.875	-0.25
1932.9583	-0.21
1933.0417	-0.34
1933.125	-0.32
1933.2083	-0.28
1933.2917	-0.23
1933.375	-0.25
1933.4583	-0.31
1933.5417	-0.19
1933.625	-0.22
1933.7083	-0.26
